,p,q,11,10,01,00
209,p = -0.01,", q = 0.10",1,1,1,1
229,p = 0.00,", q = 0.09",1,1,1,1
230,p = 0.00,", q = 0.10",1,1,1,1
249,p = 0.01,", q = 0.08",1,1,1,1
250,p = 0.01,", q = 0.09",1,1,1,1
251,p = 0.01,", q = 0.10",1,1,1,1
269,p = 0.02,", q = 0.07",1,1,1,1
270,p = 0.02,", q = 0.08",1,1,1,1
271,p = 0.02,", q = 0.09",1,1,1,1
272,p = 0.02,", q = 0.10",1,1,1,1
289,p = 0.03,", q = 0.06",1,1,1,1
290,p = 0.03,", q = 0.07",1,1,1,1
291,p = 0.03,", q = 0.08",1,1,1,1
292,p = 0.03,", q = 0.09",1,1,1,1
293,p = 0.03,", q = 0.10",1,1,1,1
308,p = 0.04,", q = 0.04",1,1,1,1
309,p = 0.04,", q = 0.05",1,1,1,1
310,p = 0.04,", q = 0.06",1,1,1,1
311,p = 0.04,", q = 0.07",1,1,1,1
312,p = 0.04,", q = 0.08",1,1,1,1
313,p = 0.04,", q = 0.09",1,1,1,1
314,p = 0.04,", q = 0.10",1,1,1,1
328,p = 0.05,", q = 0.03",1,1,1,1
329,p = 0.05,", q = 0.04",1,1,1,1
330,p = 0.05,", q = 0.05",1,1,1,1
331,p = 0.05,", q = 0.06",1,1,1,1
332,p = 0.05,", q = 0.07",1,1,1,1
333,p = 0.05,", q = 0.08",1,1,1,1
334,p = 0.05,", q = 0.09",1,1,1,1
335,p = 0.05,", q = 0.10",1,1,1,1
348,p = 0.06,", q = 0.02",1,1,1,1
349,p = 0.06,", q = 0.03",1,1,1,1
350,p = 0.06,", q = 0.04",1,1,1,1
351,p = 0.06,", q = 0.05",1,1,1,1
352,p = 0.06,", q = 0.06",1,1,1,1
353,p = 0.06,", q = 0.07",1,1,1,1
354,p = 0.06,", q = 0.08",1,1,1,1
355,p = 0.06,", q = 0.09",1,1,1,1
356,p = 0.06,", q = 0.10",1,1,1,1
367,p = 0.07,", q = 0.00",1,1,1,1
368,p = 0.07,", q = 0.01",1,1,1,1
369,p = 0.07,", q = 0.02",1,1,1,1
370,p = 0.07,", q = 0.03",1,1,1,1
371,p = 0.07,", q = 0.04",1,1,1,1
372,p = 0.07,", q = 0.05",1,1,1,1
373,p = 0.07,", q = 0.06",1,1,1,1
374,p = 0.07,", q = 0.07",1,1,1,1
375,p = 0.07,", q = 0.08",1,1,1,1
376,p = 0.07,", q = 0.09",1,1,1,1
377,p = 0.07,", q = 0.10",1,1,1,1
387,p = 0.08,", q = -0.01",1,1,1,1
388,p = 0.08,", q = 0.00",1,1,1,1
389,p = 0.08,", q = 0.01",1,1,1,1
390,p = 0.08,", q = 0.02",1,1,1,1
391,p = 0.08,", q = 0.03",1,1,1,1
392,p = 0.08,", q = 0.04",1,1,1,1
393,p = 0.08,", q = 0.05",1,1,1,1
394,p = 0.08,", q = 0.06",1,1,1,1
395,p = 0.08,", q = 0.07",1,1,1,1
396,p = 0.08,", q = 0.08",1,1,1,1
397,p = 0.08,", q = 0.09",1,1,1,1
398,p = 0.08,", q = 0.10",1,1,1,1
406,p = 0.09,", q = -0.03",1,1,1,1
407,p = 0.09,", q = -0.02",1,1,1,1
408,p = 0.09,", q = -0.01",1,1,1,1
409,p = 0.09,", q = 0.00",1,1,1,1
410,p = 0.09,", q = 0.01",1,1,1,1
411,p = 0.09,", q = 0.02",1,1,1,1
412,p = 0.09,", q = 0.03",1,1,1,1
413,p = 0.09,", q = 0.04",1,1,1,1
414,p = 0.09,", q = 0.05",1,1,1,1
415,p = 0.09,", q = 0.06",1,1,1,1
416,p = 0.09,", q = 0.07",1,1,1,1
417,p = 0.09,", q = 0.08",1,1,1,1
418,p = 0.09,", q = 0.09",1,1,1,1
419,p = 0.09,", q = 0.10",1,1,1,1
425,p = 0.10,", q = -0.05",1,1,1,1
426,p = 0.10,", q = -0.04",1,1,1,1
427,p = 0.10,", q = -0.03",1,1,1,1
428,p = 0.10,", q = -0.02",1,1,1,1
429,p = 0.10,", q = -0.01",1,1,1,1
430,p = 0.10,", q = 0.00",1,1,1,1
431,p = 0.10,", q = 0.01",1,1,1,1
432,p = 0.10,", q = 0.02",1,1,1,1
433,p = 0.10,", q = 0.03",1,1,1,1
434,p = 0.10,", q = 0.04",1,1,1,1
435,p = 0.10,", q = 0.05",1,1,1,1
436,p = 0.10,", q = 0.06",1,1,1,1
437,p = 0.10,", q = 0.07",1,1,1,1
438,p = 0.10,", q = 0.08",1,1,1,1
439,p = 0.10,", q = 0.09",1,1,1,1
440,p = 0.10,", q = 0.10",1,1,1,1
83,p = -0.07,", q = 0.10",1,1,1,0
103,p = -0.06,", q = 0.09",1,1,1,0
104,p = -0.06,", q = 0.10",1,1,1,0
123,p = -0.05,", q = 0.08",1,1,1,0
124,p = -0.05,", q = 0.09",1,1,1,0
125,p = -0.05,", q = 0.10",1,1,1,0
143,p = -0.04,", q = 0.07",1,1,1,0
144,p = -0.04,", q = 0.08",1,1,1,0
145,p = -0.04,", q = 0.09",1,1,1,0
146,p = -0.04,", q = 0.10",1,1,1,0
162,p = -0.03,", q = 0.05",1,1,1,0
163,p = -0.03,", q = 0.06",1,1,1,0
164,p = -0.03,", q = 0.07",1,1,1,0
165,p = -0.03,", q = 0.08",1,1,1,0
166,p = -0.03,", q = 0.09",1,1,1,0
167,p = -0.03,", q = 0.10",1,1,1,0
182,p = -0.02,", q = 0.04",1,1,1,0
183,p = -0.02,", q = 0.05",1,1,1,0
184,p = -0.02,", q = 0.06",1,1,1,0
185,p = -0.02,", q = 0.07",1,1,1,0
186,p = -0.02,", q = 0.08",1,1,1,0
187,p = -0.02,", q = 0.09",1,1,1,0
188,p = -0.02,", q = 0.10",1,1,1,0
201,p = -0.01,", q = 0.02",1,1,1,0
202,p = -0.01,", q = 0.03",1,1,1,0
203,p = -0.01,", q = 0.04",1,1,1,0
